eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
910783,ISC-GEM,1925,12,26,18,23,45.37,nan,125.695,8.945,23.0,14.4,nan,20.0,27.9,6.48,0.2,
909714,ISC-GEM,1926,1,18,16,55,56.65,nan,124.857,6.176,26.3,11.7,nan,15.0,19.1,5.98,0.2,
909718,GUTE,1926,1,23,3,11,52.0,nan,126.0,11.0,nan,nan,nan,35.0,nan,5.6,0.2,
909755,ISC-GEM,1926,3,4,9,30,57.9,nan,127.699,4.759,10.5,7.8,nan,15.0,31.3,6.57,0.24,
909763,ISC-GEM,1926,3,13,19,35,54.18,nan,126.708,22.886,28.4,14.4,nan,15.0,25.0,5.89,0.2,
909845,ISC-GEM,1926,5,20,7,2,18.53,nan,124.928,5.548,11.1,8.1,nan,35.0,13.4,6.55,0.2,
909870,ISC-GEM,1926,6,13,2,3,0.54,nan,115.704,19.085,23.9,14.7,nan,15.0,25.0,5.84,0.2,
909938,GUTE,1926,7,14,16,46,48.0,nan,129.0,2.0,nan,nan,nan,180.0,nan,6.2,0.2,
909963,ISC-GEM,1926,8,2,5,1,34.74,nan,123.99,13.438,9.4,7.3,nan,15.0,18.3,6.74,0.29,
910068,ISC-GEM,1926,8,20,3,8,41.14,nan,124.91,22.802,32.9,24.0,nan,15.0,51.0,5.73,0.2,
910104,ISC-GEM,1926,9,12,15,43,48.39,nan,121.387,22.939,7.7,5.0,nan,15.0,7.3,6.53,0.21,
910134,GUTE,1926,9,30,5,17,43.0,nan,122.5,3.0,nan,nan,nan,600.0,nan,6.2,0.2,
910150,ISC-GEM,1926,10,11,7,26,40.47,nan,124.271,7.644,29.6,23.5,nan,15.0,7.9,5.91,0.2,
910207,GUTE,1926,10,30,13,46,34.0,nan,124.5,9.5,nan,nan,nan,520.0,nan,6.2,0.2,
910250,ISC-GEM,1926,11,27,5,19,28.31,nan,124.808,11.415,13.3,11.4,nan,15.0,42.1,6.29,0.26,
9342024,ISC-GEM,1927,1,12,0,5,33.64,nan,119.934,15.258,27.4,10.4,nan,36.0,15.4,5.94,0.2,
909085,ISC-GEM,1927,2,5,7,36,20.93,nan,126.916,11.846,20.6,15.2,nan,15.0,25.0,5.82,0.2,
909103,ISC-GEM,1927,2,18,22,56,22.94,nan,125.924,4.788,27.7,16.3,nan,35.0,23.1,5.96,0.2,
909198,ISC,1927,4,13,13,44,17.94,0.53,120.8174,15.5118,10.81,7.77,76.0,170.0,nan,6.8,0.2,
909215,ISC-GEM,1927,4,23,13,20,38.52,nan,121.002,19.069,17.2,8.9,nan,35.0,13.6,5.69,0.21,
