eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,Anthropogenic
679742,ISC,ISC|ISC-Mb,1978,7,23,14,59,39.48,1.24,121.4579,22.3346,37.95,26.22,91.0,10.0,,4.84,0.454,,1504575|ISC|4.60|mb
679743,ISC,ISC|ISC-Mb,1978,7,23,15,14,24.84,1.16,121.1166,22.8552,34.73,24.89,46.0,12.0,,5.39,0.384,,1504576|NEIS|5.00|mb,1504578|ISC|5.10|mb
679747,ISC-EHB,ISC-EHB|ISC-Mb,1978,7,23,15,52,2.99,,121.362,22.296,9.4,7.2,81.0,15.0,,5.39,0.335,,1504587|NEIS|5.10|mb,1504590|ISC|5.10|mb
679748,ISC-EHB,ISC-EHB|ISC-Mb,1978,7,23,16,2,42.88,,121.416,22.294,8.5,8.3,66.0,15.0,,5.39,0.335,,1504592|NEIS|5.00|mb,1504595|ISC|5.10|mb
679749,ISC,ISC|ISC-Mb,1978,7,23,16,5,29.65,0.88,121.4773,22.0857,20.88,11.64,78.0,18.0,,5.17,0.454,,1504596|NEIS|4.80|mb,1504598|ISC|4.90|mb
679757,ISC-EHB,ISC-EHB|ISC-Mb,1978,7,23,16,56,12.72,,121.475,21.968,6.5,4.9,68.0,15.0,,5.49,0.384,,1504612|NEIS|5.10|mb,1504616|ISC|5.20|mb
679820,ISC-EHB,ISC-EHB|ISC-Ms,1978,7,24,2,36,59.66,,121.395,21.936,5.7,3.6,66.0,20.0,1.8,5.51,0.147,,1504719|NEIS|5.20|mb,1504719|NEIS|5.20|MSZ,1504722|ISC|5.20|mb,1504722|ISC|5.10|MS
679824,ISC,ISC|ISC-Mb,1978,7,24,3,55,15.03,0.96,121.3416,22.131,14.07,7.591,116.0,18.0,,4.74,0.335,,1504726|ISC|4.50|mb
679830,ISC-EHB,ISC-EHB|ISC-Mb,1978,7,24,6,7,4.55,,128.201,2.657,13.7,7.8,68.0,167.0,12.6,5.28,0.335,,1504733|NEIS|5.10|mb,1504734|ISC|5.00|mb
679846,ISC-EHB,ISC-EHB|ISC-Mb,1978,7,24,11,41,54.0,,121.55,22.233,5.8,4.5,75.0,26.0,3.0,5.39,0.335,,1504767|NEIS|5.00|mb,1504767|NEIS|5.50|MSZ,1504771|ISC|5.10|mb
679878,ISC-EHB,ISC-EHB|ISC-Ms,1978,7,24,23,54,45.21,,121.419,22.122,8.3,6.5,77.0,12.0,1.6,5.57,0.197,,1504843|ISC|5.10|mb,1504843|ISC|5.20|MS
679886,ISC,ISC|ISC-Mb,1978,7,25,3,11,31.75,0.85,121.3442,21.9433,10.98,6.699,106.0,18.0,,4.95,0.537,,1504852|NEIS|4.50|mb,1504854|ISC|4.70|mb
679919,ISC-EHB,ISC-EHB|ISC-Ms,1978,7,25,17,56,29.07,,121.388,22.307,6.0,5.0,72.0,16.0,2.0,5.45,0.192,,1504914|NEIS|5.20|mb,1504914|NEIS|4.80|MSZ,1504917|ISC|5.10|mb,1504917|ISC|5.00|MS
679948,ISC,ISC|ISC-Mb,1978,7,26,3,34,1.31,0.66,121.2785,22.2018,6.655,4.754,119.0,18.0,,5.06,0.335,,1504985|NEIS|4.70|mb,1504985|NEIS|4.60|MSZ,1504987|ISC|4.80|mb
680165,ISC-EHB,ISC-EHB|ISC-Mb,1978,7,30,1,42,41.51,,126.813,2.397,11.6,8.0,65.0,65.0,4.8,5.17,0.335,,1505450|ISC|4.90|mb
677486,ISC-EHB,ISC-EHB|ISC-Mb,1978,8,1,15,27,50.27,,125.951,2.62,7.1,4.5,79.0,124.0,2.4,5.6,0.384,,1499728|NEIS|5.20|mb,1499730|ISC|5.30|mb
677492,ISC-EHB,ISC-EHB|ISC-Mb,1978,8,1,18,27,54.57,,125.657,11.229,9.7,5.5,70.0,85.0,4.9,5.6,0.454,,1499744|NEIS|5.20|mb,1499745|ISC|5.30|mb
677495,ISC,ISC|ISC-Mb,1978,8,1,18,38,45.15,0.91,125.8887,11.5297,27.38,10.58,59.0,33.0,,4.95,0.822,,1499752|NEIS|4.60|mb,1499754|ISC|4.70|mb
677543,ISC,ISC|ISC-Mb,1978,8,2,18,7,43.22,0.79,120.783,14.0622,25.87,13.6,76.0,120.0,,4.74,0.384,,1499856|NEIS|4.50|mb,1499857|ISC|4.50|mb
677602,ISC-EHB,ISC-EHB|ISC-Mb,1978,8,4,0,5,30.97,,119.63,15.667,12.4,7.3,65.0,31.0,,5.39,0.454,,1499979|NEIS|5.00|mb,1499980|ISC|5.10|mb
677610,ISC-EHB,ISC-EHB|ISC-Ms,1978,8,4,3,3,26.02,,119.525,15.766,14.8,9.7,71.0,15.0,,5.39,0.236,,1499998|NEIS|4.90|mb,1499998|NEIS|4.90|MSZ,1500000|ISC|5.00|mb,1500000|ISC|4.90|MS
677613,ISC,ISC|ISC-Mb,1978,8,4,4,19,57.71,0.83,122.4964,11.2404,25.76,13.42,65.0,39.0,,5.06,0.317,,1500004|ISC|4.80|mb
677621,ISC-EHB,ISC-EHB|GCMT-Mw,1978,8,4,8,55,1.52,,120.457,19.958,4.2,2.7,58.0,27.0,1.1,5.5,,,1500018|NEIS|5.40|mb,1500018|NEIS|4.90|MSZ,05177006|GCMT|5.50|MW,1500019|ISC|5.50|mb,1500019|ISC|5.20|MS
677638,EHB,EHB|ISC-Mb,1978,8,4,19,27,2.79,,126.75,4.119,22.3,10.5,55.0,63.0,13.5,5.6,0.537,,1500050|NEIS|4.80|mb,1500052|ISC|5.30|mb
677729,ISC,ISC|ISC-Mb,1978,8,7,0,56,10.94,0.63,121.4711,22.2504,7.062,5.263,111.0,18.0,,5.06,0.335,,1500230|NEIS|4.70|mb,1500232|ISC|4.80|mb
677744,ISC,ISC|ISC-Mb,1978,8,7,10,16,49.7,1.29,121.4198,22.5932,8.443,3.925,121.0,22.0,10.0,4.63,0.628,,1500265|NEIS|4.40|mb,1500265|NEIS|4.50|MSZ,1500267|ISC|4.40|mb
677840,ISC-EHB,ISC-EHB|GCMT-Mw,1978,8,9,18,35,4.81,,121.479,23.529,5.8,4.5,109.0,20.0,1.8,5.4,,,1500470|NEIS|5.20|mb,1500470|NEIS|5.50|MSZ,05177034|GCMT|5.40|MW,1500472|ISC|5.20|mb,1500472|ISC|5.50|MS
677895,ISC-EHB,ISC-EHB|ISC-Mb,1978,8,11,3,9,42.96,,126.938,6.578,7.3,5.3,79.0,67.0,4.8,5.49,0.335,,1500587|NEIS|5.20|mb,1500589|ISC|5.20|mb
677897,ISC-EHB,ISC-EHB|ISC-Mb,1978,8,11,5,22,20.01,,127.216,9.432,16.4,8.2,65.0,13.0,3.4,5.49,0.384,,1500595|NEIS|5.10|mb,1500598|ISC|5.20|mb
677962,ISC-EHB,ISC-EHB|ISC-Ms,1978,8,13,3,41,32.8,,121.504,22.269,5.5,3.8,62.0,15.0,,5.51,0.16,,1500750|NEIS|5.40|mb,1500750|NEIS|4.60|MSZ,1500751|ISC|5.40|mb,1500751|ISC|5.10|MS
677975,ISC-EHB,ISC-EHB|ISC-Mb,1978,8,13,10,12,43.69,,126.671,4.65,8.7,4.8,66.0,35.0,,5.82,0.454,,1500781|NEIS|5.50|mb,1500784|ISC|5.50|mb
678019,ISC-EHB,ISC-EHB|ISC-Mb,1978,8,14,7,1,51.39,,120.891,13.338,5.8,4.3,75.0,254.0,5.3,5.28,0.384,,1500886|NEIS|5.00|mb,1500887|ISC|5.00|mb
678023,ISC-EHB,ISC-EHB|ISC-Mb,1978,8,14,8,27,1.7,,126.919,6.608,10.2,6.6,72.0,79.0,14.8,5.39,0.384,,1500893|NEIS|5.00|mb,1500895|ISC|5.10|mb
678273,ISC-EHB,ISC-EHB|ISC-Mb,1978,8,20,4,3,28.6,,125.303,11.306,10.5,6.7,62.0,50.0,3.3,5.17,0.454,,1501411|NEIS|4.90|mb,1501412|ISC|4.90|mb
678310,ISC-EHB,ISC-EHB|GCMT-Mw,1978,8,20,21,39,26.61,,120.445,16.376,6.8,5.5,73.0,18.0,2.2,5.3,,,05177070|GCMT|5.30|MW,1501503|NEIS|5.20|mb,1501503|NEIS|4.70|MSZ,1501504|ISC|5.30|mb,1501504|ISC|4.80|MS
678332,ISC-EHB,ISC-EHB|ISC-Mb,1978,8,21,3,24,47.17,,126.722,3.568,14.6,8.0,69.0,15.0,,5.06,0.384,,1501552|NEIS|5.00|mb,1501553|ISC|4.80|mb
678337,ISC-EHB,ISC-EHB|ISC-Ms,1978,8,21,5,41,45.17,,126.241,5.583,6.4,4.2,61.0,47.0,2.1,5.45,0.159,,1501560|NEIS|5.70|mb,1501560|NEIS|4.90|MSZ,1501563|ISC|5.80|mb,1501563|ISC|5.00|MS
678417,ISC-EHB,ISC-EHB|ISC-Mb,1978,8,23,1,15,40.96,,121.597,23.652,8.3,5.3,105.0,49.0,3.2,5.06,0.335,,1501722|NEIS|4.80|mb,1501724|ISC|4.80|mb
678421,ISC,ISC|ISC-Mb,1978,8,23,2,31,56.92,1.07,122.2639,15.8134,26.7,16.58,80.0,42.0,,4.74,0.335,,1501735|ISC|4.50|mb
678453,ISC-EHB,ISC-EHB|ISC-Mb,1978,8,23,19,34,0.27,,126.565,4.09,8.0,5.3,66.0,35.0,,5.93,0.335,,1501803|NEIS|5.50|mb,1501805|ISC|5.60|mb
678557,ISC-EHB,ISC-EHB|ISC-Ms,1978,8,26,4,53,11.66,,121.448,22.154,11.9,8.4,85.0,15.0,,5.33,0.192,,1502028|NEIS|4.80|mb,1502028|NEIS|5.20|MSZ,1502031|ISC|4.80|mb,1502031|ISC|4.80|MS
678655,ISC,ISC|ISC-Mb,1978,8,28,18,0,32.12,0.67,123.6969,5.738,28.7,11.68,48.0,551.0,,5.06,0.384,,1502223|ISC|4.80|mb
678728,ISC-EHB,ISC-EHB|ISC-Ms,1978,8,30,8,24,54.28,,126.803,3.547,9.5,6.3,67.0,15.0,,5.26,0.159,,1502365|NEIS|5.40|mb,1502365|NEIS|4.60|MSZ,1502367|ISC|5.40|mb,1502367|ISC|4.70|MS
678780,ISC-EHB,ISC-EHB|ISC-Mb,1978,8,31,10,8,11.82,,126.831,6.549,4.8,3.3,58.0,65.0,2.1,6.15,0.384,,1502475|NEIS|5.70|mb,1502477|ISC|5.80|mb
676401,ISC-EHB,ISC-EHB|ISC-Ms,1978,9,6,14,46,39.16,,122.549,10.427,7.1,5.5,67.0,40.0,4.5,5.26,0.159,,1497338|NEIS|5.20|mb,1497338|NEIS|4.80|MSZ,1497339|ISC|5.30|mb,1497339|ISC|4.70|MS
676449,ISC,ISC|ISC-Mb,1978,9,7,21,7,28.28,1.4,121.4531,14.0615,50.68,22.67,43.0,35.0,,4.52,0.384,,1497447|ISC|4.30|mb
676472,ISC-EHB,ISC-EHB|GCMT-Mw,1978,9,8,12,28,40.5,,126.454,3.978,7.2,4.7,57.0,35.0,,5.5,,,1497490|NEIS|5.40|mb,1497490|NEIS|5.20|MSZ,05177116|GCMT|5.50|MW,1497492|ISC|5.40|mb,1497492|ISC|5.20|MS
676479,ISC,ISC|ISC-Mb,1978,9,8,15,36,51.55,1.19,126.514,3.9574,56.28,14.41,55.0,45.0,,5.17,0.724,,1497507|NEIS|4.90|mb,1497508|ISC|4.90|mb
676515,EHB,EHB|ISC-Mb,1978,9,9,12,53,31.04,,128.398,2.556,13.7,9.4,60.0,158.0,,5.49,0.384,,1497587|NEIS|4.90|mb,1497588|ISC|5.20|mb
676594,ISC,ISC|ISC-Mb,1978,9,11,8,18,53.96,0.74,128.3134,1.9836,15.03,8.774,50.0,92.0,,5.39,0.335,,1497764|NEIS|5.20|mb,1497765|ISC|5.10|mb
676745,ISC-EHB,ISC-EHB|GCMT-Mw,1978,9,14,19,55,39.63,,126.082,10.871,6.7,4.1,65.0,25.0,,5.2,,,1498092|NEIS|5.50|mb,05177138|GCMT|5.20|MW,1498093|ISC|5.50|mb
676746,ISC-EHB,ISC-EHB|ISC-Mb,1978,9,14,20,48,37.9,,126.138,10.821,11.8,8.1,63.0,15.0,,5.82,0.454,,1498094|NEIS|5.30|mb,1498095|ISC|5.50|mb
677165,ISC-EHB,ISC-EHB|ISC-Mb,1978,9,24,7,27,25.67,,126.112,6.102,11.6,5.4,75.0,130.0,7.0,5.28,0.724,,1499030|NEIS|4.90|mb,1499032|ISC|5.00|mb
677253,ISC-EHB,ISC-EHB|GCMT-Mw,1978,9,26,6,7,46.14,,120.23,1.135,6.5,3.9,52.0,36.0,1.8,5.6,,,1499228|NEIS|5.70|mb,1499228|NEIS|5.10|MSZ,05177160|GCMT|5.60|MW,1499230|ISC|5.80|mb,1499230|ISC|5.20|MS
674757,ISC-EHB,ISC-EHB|GCMT-Mw,1978,10,1,13,23,50.31,,123.943,6.692,6.5,3.9,50.0,30.0,2.7,5.8,,,1493879|NEIS|5.60|mb,1493879|NEIS|5.40|MSZ,05177174|GCMT|5.80|MW,1493881|ISC|5.70|mb,1493881|ISC|5.40|MS
674780,ISC-EHB,ISC-EHB|ISC-Mb,1978,10,1,22,46,19.04,,123.91,6.745,13.1,7.7,54.0,41.0,6.5,5.39,0.384,,1493918|NEIS|5.10|mb,1493919|ISC|5.10|mb
674843,ISC,ISC|ISC-Mb,1978,10,3,19,12,32.41,0.74,123.1302,1.4983,31.31,10.16,34.0,39.0,,5.28,0.628,,1494040|ISC|5.00|mb
674960,ISC-EHB,ISC-EHB|ISC-Mb,1978,10,5,20,7,25.44,,123.977,6.74,10.4,5.5,59.0,35.0,,5.6,0.454,,1494289|NEIS|5.10|mb,1494290|ISC|5.30|mb
675005,ISC-EHB,ISC-EHB|ISC-Mb,1978,10,6,16,8,44.73,,122.104,17.154,11.4,7.9,59.0,19.0,1.8,5.49,0.454,,1494374|NEIS|5.10|mb,1494376|ISC|5.20|mb
675038,ISC-EHB,ISC-EHB|ISC-Mb,1978,10,7,2,33,22.5,,125.812,5.967,10.7,5.7,37.0,126.0,5.5,5.39,0.384,,1494447|NEIS|5.10|mb,1494448|ISC|5.10|mb
675185,ISC-EHB,ISC-EHB|ISC-Mb,1978,10,9,23,27,32.4,,127.207,4.888,17.4,11.7,63.0,108.0,,5.28,0.384,,1494777|ISC|5.00|mb
675276,ISC-EHB,ISC-EHB|ISC-Mb,1978,10,12,2,18,29.45,,122.456,16.877,11.9,8.7,60.0,15.0,,5.17,0.384,,1494967|NEIS|4.60|mb,1494967|NEIS|4.20|MSZ,1494968|ISC|4.90|mb
675511,ISC,ISC|ISC-Mb,1978,10,17,18,23,51.23,0.94,121.5035,13.853,28.23,12.53,45.0,35.0,,4.84,0.454,,1495448|ISC|4.60|mb
675813,ISC,ISC|ISC-Mb,1978,10,25,8,14,40.93,1.8,122.5673,3.0251,72.87,18.46,40.0,450.0,,5.17,0.454,,1496068|ISC|4.90|mb
675859,ISC-EHB,ISC-EHB|ISC-Ms,1978,10,26,9,14,50.07,,125.893,8.26,8.0,5.3,60.0,20.0,2.4,5.39,0.159,,1496147|NEIS|5.30|mb,1496147|NEIS|4.90|MSZ,1496149|ISC|5.30|mb,1496149|ISC|4.90|MS
675952,ISC,ISC|ISC-Mb,1978,10,28,16,43,43.31,0.73,122.3112,23.9974,9.072,4.689,97.0,27.0,,4.95,0.335,,1496326|NEIS|4.60|mb,1496327|ISC|4.70|mb
676026,ISC-EHB,ISC-EHB|ISC-Mb,1978,10,30,13,40,32.9,,122.344,8.087,9.0,5.8,40.0,20.0,,5.49,0.454,,1496508|NEIS|5.40|mb,1496508|NEIS|5.30|MSZ,1496509|ISC|5.20|mb
676027,ISC-EHB,ISC-EHB|ISC-Ms,1978,10,30,13,42,19.21,,122.266,8.032,8.8,5.0,39.0,59.0,5.3,5.88,0.147,,1496511|NEIS|5.70|mb,1496511|NEIS|5.70|MSZ,1496512|ISC|5.60|mb,1496512|ISC|5.70|MS
676066,ISC-EHB,ISC-EHB|GCMT-Mw,1978,10,31,11,21,2.81,,123.828,6.786,5.4,3.3,56.0,562.0,3.9,5.4,,,1496601|NEIS|5.40|mb,05177250|GCMT|5.40|MW,1496602|ISC|5.30|mb
673766,ISC-EHB,ISC-EHB|ISC-Mb,1978,11,10,9,5,48.88,,121.463,20.429,10.1,8.1,97.0,25.0,,5.06,0.454,,1491849|NEIS|4.60|mb,1491851|ISC|4.80|mb
673982,EHB,EHB|ISC-Mb,1978,11,15,14,8,46.89,,122.629,13.144,13.4,8.1,56.0,42.0,7.9,5.17,0.384,,1492311|NEIS|5.00|mb,1492312|ISC|4.90|mb
674022,ISC-EHB,ISC-EHB|ISC-Ms,1978,11,16,10,45,9.2,,126.571,7.992,5.6,4.0,65.0,44.0,2.2,5.14,0.236,,1492392|NEIS|5.40|mb,1492394|ISC|5.50|mb,1492394|ISC|4.50|MS
674063,ISC-EHB,ISC-EHB|ISC-Mb,1978,11,17,7,18,26.75,,122.543,10.52,10.0,7.2,62.0,30.0,,5.39,0.628,,1492484|NEIS|5.10|mb,1492485|ISC|5.10|mb
674131,ISC-EHB,ISC-EHB|ISC-Mb,1978,11,18,23,10,47.06,,123.593,5.306,9.2,7.4,42.0,554.0,9.4,5.28,0.384,,1492617|NEIS|5.00|mb,1492618|ISC|5.00|mb
674212,ISC,ISC|ISC-Mb,1978,11,20,23,44,57.61,0.97,121.3973,23.5817,5.41,2.812,109.0,15.0,7.5,4.63,0.537,,1492781|NEIS|4.50|mb,1492782|ISC|4.40|mb
674222,ISC-EHB,ISC-EHB|ISC-Mb,1978,11,21,3,57,35.85,,126.454,2.999,11.7,5.8,53.0,79.0,6.0,5.49,0.537,,1492799|NEIS|5.00|mb,1492800|ISC|5.20|mb
674226,ISC,ISC|ISC-Mb,1978,11,21,4,42,43.89,1.76,127.753,2.1256,60.55,14.47,51.0,35.0,,5.39,0.537,,1492806|NEIS|4.60|mb,1492807|ISC|5.10|mb
674268,ISC-EHB,ISC-EHB|GCMT-Mw,1978,11,22,0,7,37.69,,126.38,1.583,8.8,5.2,55.0,50.0,4.0,5.4,,,1492901|NEIS|5.40|mb,1492901|NEIS|4.50|MSZ,05177312|GCMT|5.40|MW,1492903|ISC|5.30|mb
674286,ISC-EHB,ISC-EHB|GCMT-Mw,1978,11,22,9,32,19.54,,126.016,8.58,7.0,4.3,56.0,19.0,3.8,5.3,,,1492937|NEIS|5.50|mb,05177314|GCMT|5.30|MW,1492939|ISC|5.60|mb
674402,ISC,ISC|ISC-Mb,1978,11,24,21,33,29.52,0.73,121.271,19.8998,25.86,11.55,74.0,35.0,,4.74,0.822,,1493184|NEIS|4.80|mb,1493186|ISC|4.50|mb
674520,ISC-EHB,ISC-EHB|ISC-Mb,1978,11,27,4,57,30.0,,126.5,8.791,18.3,11.1,67.0,45.0,8.8,5.28,0.537,,1493405|NEIS|4.70|mb,1493406|ISC|5.00|mb
674607,ISC,ISC|ISC-Mb,1978,11,28,21,22,50.47,0.76,122.5366,10.2929,17.22,13.4,52.0,110.0,,4.74,0.317,,1493574|NEIS|4.50|mb,1493575|ISC|4.50|mb
671803,ISC-EHB,ISC-EHB|GCMT-Mw,1978,12,1,17,10,29.55,,122.164,8.66,4.6,2.6,56.0,27.0,0.8,5.7,,,1487720|NEIS|5.80|mb,1487720|NEIS|5.20|MSZ,05177338|GCMT|5.70|MW,1487722|ISC|5.80|mb,1487722|ISC|5.20|MS
671815,ISC-EHB,ISC-EHB|ISC-Mb,1978,12,1,18,43,20.23,,126.706,2.464,10.9,6.7,58.0,55.0,,5.28,0.454,,1487742|NEIS|5.00|mb,1487743|ISC|5.00|mb
671885,ISC-EHB,ISC-EHB|ISC-Ms,1978,12,2,18,7,16.28,,126.229,9.944,9.9,5.8,59.0,41.0,4.3,5.26,0.159,,1487877|NEIS|5.30|mb,1487878|ISC|5.30|mb,1487878|ISC|4.70|MS
672182,ISC-EHB,ISC-EHB|ISC-Mb,1978,12,7,16,48,46.25,,127.36,1.891,10.9,5.4,70.0,112.0,,5.49,0.384,,1488486|NEIS|5.10|mb,1488487|ISC|5.20|mb
672190,ISC,ISC|ISC-Mb,1978,12,7,19,35,13.21,0.74,126.6823,3.6086,42.94,13.33,62.0,53.0,,4.95,0.335,,1488505|ISC|4.70|mb
672262,ISC,ISC|ISC-Mb,1978,12,9,3,23,43.51,0.74,126.1058,7.0776,18.57,10.24,73.0,53.0,,4.74,0.454,,1488651|NEIS|4.40|mb,1488652|ISC|4.50|mb
672272,ISC,ISC|ISC-Mb,1978,12,9,9,27,29.35,0.88,122.184,12.5149,27.47,14.3,67.0,19.0,,4.63,0.454,,1488679|NEIS|4.40|mb,1488681|ISC|4.40|mb
672392,EHB,EHB|ISC-Mb,1978,12,11,15,27,41.0,,126.524,2.947,21.7,7.6,56.0,35.0,,5.49,0.537,,1488922|NEIS|5.10|mb,1488923|ISC|5.20|mb
672428,ISC-EHB,ISC-EHB|GCMT-Mw,1978,12,12,11,44,14.8,,123.393,7.384,5.9,4.0,51.0,13.0,1.7,6.8,,,1488991|NEIS|6.20|mb,1488991|NEIS|6.90|MSZ,05177362|GCMT|6.80|MW,1488993|ISC|6.30|mb,1488993|ISC|7.00|MS
672429,ISC,ISC|ISC-Mb,1978,12,12,12,20,44.24,0.54,123.3627,7.1824,15.89,10.16,48.0,43.0,,4.95,0.384,,1488994|NEIS|4.80|mb,1488996|ISC|4.70|mb
672432,ISC-EHB,ISC-EHB|ISC-Ms,1978,12,12,13,47,19.23,,123.761,22.003,4.2,3.0,44.0,16.0,1.7,5.76,0.204,,1489002|NEIS|5.60|mb,1489002|NEIS|5.50|MSZ,1489005|ISC|5.80|mb,1489005|ISC|5.50|MS
672440,ISC-EHB,ISC-EHB|ISC-Mb,1978,12,12,16,34,4.2,,125.633,5.419,14.8,8.1,30.0,159.0,13.6,5.49,0.335,,1489024|NEIS|4.90|mb,1489025|ISC|5.20|mb
672477,ISC,ISC|ISC-Mb,1978,12,13,10,35,0.52,0.72,120.1946,14.9435,20.13,12.0,64.0,55.0,,4.95,0.335,,1489092|NEIS|4.80|mb,1489094|ISC|4.70|mb
672497,EHB,EHB|ISC-Mb,1978,12,14,1,48,32.54,,120.108,15.057,16.1,11.5,68.0,24.0,7.4,5.28,0.335,,1489123|NEIS|4.90|mb,1489124|ISC|5.00|mb
672531,EHB,EHB|ISC-Mb,1978,12,14,18,25,24.81,,123.548,6.578,13.1,8.9,62.0,45.0,8.8,5.17,0.628,,1489196|NEIS|4.80|mb,1489197|ISC|4.90|mb
672690,ISC,ISC|ISC-Mb,1978,12,18,15,41,32.32,0.74,119.911,15.438,19.06,12.39,127.0,53.0,,5.06,0.384,,1489529|NEIS|4.60|mb,1489530|ISC|4.80|mb
672700,EHB,EHB|ISC-Mb,1978,12,18,20,55,0.84,,127.283,1.44,12.7,6.3,43.0,131.0,,5.28,0.384,,1489548|NEIS|5.00|mb,1489549|ISC|5.00|mb
672711,ISC-EHB,ISC-EHB|ISC-Mb,1978,12,19,2,54,35.87,,122.054,9.635,8.5,5.5,68.0,41.0,2.3,5.6,0.335,,1489570|NEIS|5.10|mb,1489572|ISC|5.30|mb
672779,ISC-EHB,ISC-EHB|GCMT-Mw,1978,12,20,15,51,56.88,,126.706,3.891,6.0,4.0,57.0,15.0,,5.5,,,1489714|NEIS|5.70|mb,1489714|NEIS|5.10|MSZ,05177382|GCMT|5.50|MW,1489716|ISC|5.80|mb,1489716|ISC|5.10|MS
672786,ISC-EHB,ISC-EHB|ISC-Ms,1978,12,20,20,41,22.67,,123.941,6.614,10.7,7.1,63.0,46.0,13.4,5.33,0.236,,1489728|NEIS|5.10|mb,1489728|NEIS|4.90|MSZ,1489729|ISC|5.00|mb,1489729|ISC|4.80|MS
672821,ISC-EHB,ISC-EHB|ISC-Ms,1978,12,21,14,7,50.35,,125.344,22.012,6.2,5.8,179.0,17.0,2.1,5.2,0.192,,1489802|NEIS|5.10|mb,1489802|NEIS|4.70|MSZ,1489807|ISC|5.10|mb,1489807|ISC|4.60|MS
672874,ISC,ISC|ISC-Mb,1978,12,23,2,28,28.63,0.84,126.0644,5.4712,22.37,10.31,48.0,116.0,,5.39,0.384,,1489930|NEIS|4.80|mb,1489932|ISC|5.10|mb
672890,ISC-EHB,ISC-EHB|GCMT-Mw,1978,12,23,11,23,14.29,,122.019,23.231,2.9,2.6,29.0,40.0,1.2,7.0,,,1489976|NEIS|6.60|mb,1489976|NEIS|7.00|MSZ,05177396|GCMT|7.00|MW,1489982|ISC|6.60|mb,1489982|ISC|7.30|MS
672899,ISC,ISC|ISC-Mb,1978,12,23,13,1,40.17,1.45,121.9414,23.0558,8.89,4.866,114.0,15.0,8.82,5.06,0.384,,1490002|NEIS|4.70|mb,1490005|ISC|4.80|mb
672900,ISC,ISC|ISC-Mb,1978,12,23,13,8,38.06,1.37,121.9467,23.3409,7.2,3.757,109.0,9.0,8.5,5.17,0.628,,1490008|NEIS|5.00|mb,1490010|ISC|4.90|mb
672906,ISC-EHB,ISC-EHB|ISC-Ms,1978,12,23,15,3,51.86,,121.952,23.09,7.7,7.0,93.0,10.0,,5.39,0.192,,1490023|NEIS|5.00|mb,1490023|NEIS|4.90|MSZ,1490026|ISC|5.00|mb,1490026|ISC|4.90|MS
672931,ISC,ISC|ISC-Mb,1978,12,24,2,45,13.45,0.74,121.9729,23.187,7.2,3.863,114.0,15.0,,4.52,0.335,,1490076|NEIS|4.20|mb,1490077|ISC|4.30|mb
672963,ISC-EHB,ISC-EHB|ISC-Mb,1978,12,24,12,36,41.09,,128.59,2.444,9.2,5.3,66.0,239.0,6.1,5.39,0.384,,1490137|NEIS|5.00|mb,1490138|ISC|5.10|mb
673063,ISC-EHB,ISC-EHB|ISC-Ms,1978,12,26,7,49,10.46,,121.665,22.936,5.8,5.5,29.0,10.0,,5.57,0.161,,1490340|NEIS|5.10|mb,1490340|NEIS|5.30|MSZ,1490343|ISC|5.30|mb,1490343|ISC|5.20|MS
673113,ISC-EHB,ISC-EHB|ISC-Mb,1978,12,27,14,46,37.61,,122.054,23.304,7.4,5.5,124.0,42.0,4.3,5.28,0.384,,1490431|NEIS|4.90|mb,1490431|NEIS|4.20|MSZ,1490435|ISC|5.00|mb
673184,ISC,ISC|ISC-Mb,1978,12,28,18,59,15.4,1.27,123.7918,6.5239,40.57,13.88,39.0,350.0,,4.41,0.454,,1490576|ISC|4.20|mb
670546,ISC-EHB,ISC-EHB|ISC-Ms,1979,1,3,6,38,53.35,,120.641,21.958,4.8,3.5,85.0,38.0,1.6,5.45,0.159,,1484990|NEIS|5.10|mb,1484990|NEIS|4.90|MSZ,1484993|ISC|5.20|mb,1484993|ISC|5.00|MS
670557,EHB,EHB|ISC-Mb,1979,1,3,13,6,56.94,,126.825,5.952,22.7,8.0,62.0,72.0,,5.39,0.537,,1485014|NEIS|5.20|mb,1485016|ISC|5.10|mb
670661,EHB,EHB|ISC-Mb,1979,1,5,21,22,40.74,,127.411,1.67,19.4,7.3,40.0,132.0,,5.28,0.384,,1485222|NEIS|5.00|mb,1485223|ISC|5.00|mb
670833,ISC,ISC|ISC-Mb,1979,1,9,22,12,6.63,0.69,121.0468,19.5383,15.73,9.825,100.0,32.0,,4.95,0.384,,1485570|NEIS|4.60|mb,1485571|ISC|4.70|mb
671010,ISC,ISC|ISC-Mb,1979,1,14,2,33,26.03,0.9,122.0233,23.3859,12.23,5.08,106.0,25.0,,5.06,0.384,,1485982|NEIS|4.80|mb,1485984|ISC|4.80|mb
671140,ISC-EHB,ISC-EHB|ISC-Mb,1979,1,17,19,33,22.44,,126.624,1.876,10.7,5.6,57.0,45.0,,5.71,0.384,,1486307|NEIS|5.30|mb,1486309|ISC|5.40|mb
