eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,str1,dip1,rake1,str2,dip2,rake2
911911,ISC-GEM,1922,6,2,20,11,47.93,,127.224,7.335,15.3,8,,15,16.3,6.45,0.35,,,,,,
911936,ISC-GEM,1922,6,27,14,29,57.86,,126.981,7.107,21.9,10.6,,35,13.8,6.32,0.29,,,,,,
911955,ISC-GEM,1922,7,13,4,58,6.14,,124.569,7.668,20,13.4,,15,7.9,6.42,0.47,,,,,,
911996,ISC-GEM,1922,8,29,17,1,7.75,,121.855,12.201,16,9.8,,15,3.1,6.77,0.26,,,,,,
912005,ISC-GEM,1922,9,6,22,12,5.17,,122.96,23.824,24,9.8,,13,7.8,6.28,0.27,,,,,,
912049,ISC-GEM,1922,10,27,14,22,49.13,,121.54,23.957,16,8.4,,15,7.1,6.65,0.25,,,,,,
911301,ISC-GEM,1923,3,2,16,48,34.06,,124.873,7.641,12.9,9.8,,15,10,7.18,0.52,,,,,,
911312,ISC-GEM,1923,3,14,20,44,11.88,,126.901,6.017,19.9,10.7,,35,40.3,6.4,0.2,,,,,,
911315,ISC-GEM,1923,3,16,22,1,44.58,,127.323,6.528,12.6,8.1,,35,16.6,6.89,0.3,,,,,,
911334,ISC-GEM,1923,4,19,3,9,13.61,,117.432,2.536,12.2,8.1,,35,25,6.81,0.2,,,,,,
911428,ISC-GEM,1923,7,2,2,31,55.89,,123.046,23.069,15.6,9.8,,25,14.5,6.58,0.52,,,,,,
911497,ISC-GEM,1923,8,11,0,54,43.21,,118.26,5.252,13.7,10,,35,25,6.55,0.2,,,,,,
911658,ISC-GEM,1923,9,27,7,1,23.61,,126.738,8.369,37.6,16,,35,31.1,6.12,0.2,,,,,,
911741,ISC-GEM,1923,11,18,21,29,30.91,,122.331,23.979,9.4,7.1,,25,14.3,6.33,0.65,,,,,,
911751,ISC-GEM,1923,11,25,17,3,16.7,,122.928,23.562,14.2,7.9,,35,8.2,6.35,0.21,,,,,,
910911,ISC-GEM,1924,4,14,16,20,37.49,,126.167,6.625,11.4,7,,15,51.3,8.12,0.66,,,,,,
910942,ISC-GEM,1924,5,6,16,9,27.89,,119.261,15.899,10.2,7.9,,15,10.8,6.86,0.41,,,,,,
910955,ISC-GEM,1924,5,16,12,50,57.09,,124.917,11.025,31.1,22,,15,13.3,5.95,0.45,,,,,,
911039,ISC-GEM,1924,7,22,14,23,53.05,,121.881,23.589,11,8.6,,15,9.8,6.93,0.2,,,,,,
911077,ISC-GEM,1924,8,30,3,4,59.86,,126.942,8.982,10.7,7.1,,15,16.2,7.19,0.42,,,,,,
911107,ISC-GEM,1924,9,11,3,25,42.97,,126.771,5.795,22.8,13.2,,35,40.3,6.48,0.2,,,,,,
911120,ISC-GEM,1924,9,14,14,8,8.44,,127.467,9.9,31.1,11.8,,15,25,6.51,0.2,,,,,,
911174,ISC-GEM,1924,10,27,19,57,12.37,,124.117,7.054,14.1,9.1,,20,25,6.23,0.2,,,,,,
910396,ISC-GEM,1925,3,1,12,25,35.99,,120.997,22.886,15.6,8.6,,15,6.6,6.07,0.2,,,,,,
