eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,Anthropogenic

870519,ISC,ISC|USCGS-mb,1964,2,10,0,26,37.91,0.85,125.876,6.2506,34.5,20.67,60.0,97.0,,5.6,0.283,
870627,ISC,ISC|USCGS-mb,1964,2,15,19,12,19.35,0.75,120.5235,22.9984,13.93,5.865,98.0,16.0,,4.67,0.283,
870665,ISC-EHB,ISC-EHB|USCGS-mb,1964,2,17,5,50,40.49,,120.629,23.123,8.4,7.3,70.0,14.0,3.0,5.02,0.283,
870683,ISC,ISC|USCGS-mb,1964,2,18,0,37,7.18,0.92,121.5012,17.536,26.21,12.83,95.0,40.0,,4.56,0.283,
870898,ISC-EHB,ISC-EHB|USCGS-mb,1964,2,26,18,14,36.47,,126.043,4.465,10.9,5.1,54.0,98.0,2.5,5.48,0.283,
869244,ISC,ISC|USCGS-mb,1964,3,1,8,2,3.57,0.68,120.7153,18.7828,17.93,8.078,63.0,30.0,,4.9,0.283,
869251,ISC-EHB,ISC-EHB|USCGS-mb,1964,3,1,12,54,39.36,,122.639,7.983,20.4,11.2,57.0,29.0,5.1,6.53,0.283,
869295,ISC-EHB,ISC-EHB|USCGS-mb,1964,3,3,21,39,44.47,,125.601,4.69,11.3,5.5,58.0,188.0,3.1,5.02,0.283,
869308,EHB,EHB|USCGS-mb,1964,3,4,7,17,42.12,,123.076,4.238,23.3,9.6,49.0,580.0,,5.14,0.283,
869320,ISC,ISC|USCGS-mb,1964,3,4,23,53,21.45,0.9,125.5578,11.6967,34.33,13.53,37.0,100.0,,5.95,0.283,
869321,ISC-EHB,ISC-EHB|USCGS-mb,1964,3,5,0,1,18.13,,126.029,11.561,12.8,7.0,59.0,15.0,3.0,4.79,0.283,
869421,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1964,3,10,13,59,57.35,,127.372,1.908,9.4,4.8,,124.3,5.3,5.87,0.55,
869434,ISC-EHB,ISC-EHB|USCGS-mb,1964,3,11,1,6,0.76,,126.939,1.715,7.2,4.3,72.0,52.0,3.2,5.83,0.283,
869450,ISC-EHB,ISC-EHB|USCGS-mb,1964,3,12,3,55,19.16,,121.66,23.438,7.4,5.1,54.0,64.0,4.0,5.37,0.283,
869470,ISC-EHB,ISC-EHB|USCGS-mb,1964,3,12,22,32,55.85,,123.021,13.606,11.9,8.0,56.0,10.0,3.5,5.48,0.283,
869542,ISC,ISC|USCGS-mb,1964,3,15,21,17,47.34,0.65,120.036,17.8927,20.86,9.439,61.0,32.0,,4.9,0.283,
869571,ISC,ISC|USCGS-mb,1964,3,17,1,4,18.48,1.46,121.136,1.0644,67.06,17.28,50.0,29.0,,5.48,0.283,
869766,ISC-EHB,ISC-EHB|ISC-Mb,1964,3,26,1,16,7.92,,122.531,10.237,14.5,8.5,57.0,30.0,3.5,5.17,0.537,
869772,ISC-EHB,ISC-EHB|USCGS-mb,1964,3,26,6,30,53.04,,120.727,13.868,12.2,8.1,68.0,112.0,4.6,5.72,0.283,
869776,ISC-EHB,ISC-EHB|USCGS-mb,1964,3,26,9,15,32.82,,121.793,8.234,23.7,9.6,64.0,40.0,4.6,6.76,0.283,
868241,ISC-EHB,ISC-EHB|USCGS-mb,1964,4,2,7,38,31.29,,125.472,1.921,15.9,7.3,67.0,77.0,5.3,5.14,0.283,
868263,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1964,4,2,15,56,48.22,,125.696,5.634,10.6,5.3,,110.0,25.0,5.68,0.51,
868371,ISC-EHB,ISC-EHB|USCGS-mb,1964,4,4,21,38,13.57,,122.039,10.581,12.1,7.2,64.0,16.0,,5.48,0.283,
868508,ISC,ISC|USCGS-mb,1964,4,8,4,56,47.55,0.69,125.9075,9.8725,31.63,16.32,53.0,54.0,,5.14,0.283,
868539,ISC-EHB,ISC-EHB|USCGS-mb,1964,4,9,0,55,58.09,,124.929,6.126,15.8,7.4,58.0,35.0,,5.48,0.283,
