eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,Anthropogenic,Unnamed: 20
906223,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,6,13,20,57,36.11,,119.432,18.224,9.0,8.3,,15.0,4.1,6.08,0.26,,906223|ISC-GEM|6.08|Mw || 1951833|PAS|6.20|MS || 1951833|PAS|6.20|MS
906224,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,6,14,5,59,35.3,,120.959,18.323,8.4,7.1,,35.0,18.9,6.11,0.26,,906224|ISC-GEM|6.11|Mw || 1951835|PAS|6.50|MS || 1951835|PAS|6.50|MS
906226,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,6,14,11,20,14.7,,119.674,17.632,13.8,11.5,,15.0,17.3,5.94,0.36,,906226|ISC-GEM|5.94|Mw || 1951839|PAS|6.00|MS || 1951839|PAS|6.00|MS
906281,GUTE,GUTE|PAS-Ms,1932,7,9,20,23,54.0,,126.5,5.5,,,,120.0,,6.0,0.2,,1951929|PAS|6.00|MS
906284,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,7,11,8,21,34.53,,125.289,12.34,22.4,15.1,,35.0,11.1,5.82,0.2,,906284|ISC-GEM|5.82|Mw || 1951937|PAS|5.60|MS || 1951937|PAS|5.60|MS
906297,GUTE,GUTE|PAS-Ms,1932,7,18,5,2,5.0,,120.0,14.0,,,,100.0,,6.0,0.2,,1951956|PAS|6.00|MS
906320,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,8,5,0,45,48.24,,122.522,17.691,54.1,31.3,,15.0,7.2,5.63,0.2,,906320|ISC-GEM|5.63|Mw
906345,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,8,21,4,15,37.91,,122.286,23.998,5.5,4.2,,25.0,14.3,6.49,0.29,,906345|ISC-GEM|6.49|Mw
906349,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,8,24,12,10,35.82,,120.381,16.456,10.4,7.6,,15.0,8.6,6.09,0.21,,906349|ISC-GEM|6.09|Mw || 1952052|PAS|6.20|MS || 1952052|PAS|6.20|MS
906370,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,9,15,11,13,20.17,,120.658,5.947,10.8,8.0,,15.0,25.0,6.17,0.28,,906370|ISC-GEM|6.17|Mw || 1952089|PAS|6.20|MS || 1952089|PAS|6.20|MS
906414,GUTE,GUTE|PAS-Ms,1932,10,9,12,49,49.0,,122.5,23.5,,,,130.0,,6.0,0.2,,1952154|PAS|6.00|MS
906435,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,10,23,21,27,55.65,,122.543,23.948,6.9,4.1,,35.0,14.3,6.18,0.51,,906435|ISC-GEM|6.18|Mw
906460,GUTE,GUTE|PAS-Ms,1932,11,18,13,47,16.0,,124.5,2.0,,,,280.0,,6.5,0.2,,1952237|PAS|6.50|MS
906486,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,12,4,8,11,17.62,,121.039,2.433,7.3,5.3,,15.0,4.5,6.99,0.48,,906486|ISC-GEM|6.99|Mw || 1952279|PAS|7.10|MS || 05952023|ISC|7.20|MS || 1952279|PAS|7.10|MS || 05952023|ISC|7.20|MS
906487,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,12,4,10,33,0.04,,120.99,2.411,9.5,6.8,,15.0,25.0,6.19,0.4,,906487|ISC-GEM|6.19|Mw || 1952283|PAS|6.20|MS || 05952024|ISC|6.40|MS || 1952283|PAS|6.20|MS || 05952024|ISC|6.40|MS
906501,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,12,15,19,33,45.22,,121.072,20.984,7.5,5.0,,35.0,21.8,5.95,0.2,,906501|ISC-GEM|5.95|Mw || 1952309|PAS|6.00|MS || 1952309|PAS|6.00|MS
906502,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,12,16,7,14,20.29,,125.974,7.193,22.0,13.3,,15.0,20.8,5.86,0.36,,906502|ISC-GEM|5.86|Mw
906502,GUTE,GUTE|PAS-Ms,1932,12,16,7,14,22.0,,127.0,7.0,,,,35.0,,5.6,0.2,,1952311|PAS|5.60|MS
905388,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1933,2,16,9,8,15.73,,126.138,2.228,16.7,8.1,,35.0,20.6,5.75,0.2,,905388|ISC-GEM|5.75|Mw || 1950419|PAS|5.60|MS || 1950419|PAS|5.60|MS
905403,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1933,2,22,3,47,55.99,,126.658,4.24,46.1,16.7,,25.0,23.2,5.68,0.2,,905403|ISC-GEM|5.68|Mw
905403,GUTE,GUTE|PAS-Ms,1933,2,22,3,48,10.0,,125.0,5.5,,,,35.0,,5.6,0.2,,1950442|PAS|5.60|MS
905427,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1933,3,3,2,19,32.27,,120.225,15.745,11.9,7.1,,15.0,15.4,5.78,0.2,,905427|ISC-GEM|5.78|Mw || 1950477|PAS|6.50|MS || 1950477|PAS|6.50|MS
905474,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1933,3,17,19,32,30.8,,127.118,6.253,7.9,7.0,,35.0,34.3,6.63,0.46,,905474|ISC-GEM|6.63|Mw || 1950547|PAS|6.80|MS || 05952047|ISC|6.80|MS || 1950547|PAS|6.80|MS || 05952047|ISC|6.80|MS
905494,GUTE,GUTE|PAS-Ms,1933,4,1,8,7,35.0,,127.0,6.0,,,,35.0,,5.6,0.2,,1950580|PAS|5.60|MS
905621,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1933,6,6,2,28,26.58,,120.46,13.248,11.5,8.6,,35.0,18.4,6.17,0.37,,905621|ISC-GEM|6.17|Mw || 1950792|PAS|6.20|MS || 1950792|PAS|6.20|MS
905656,GUTE,GUTE|PAS-Ms,1933,6,24,13,55,0.0,,126.0,4.0,,,,35.0,,5.6,0.2,,1950859|PAS|5.60|MS
905754,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1933,8,7,12,34,49.13,,127.15,10.36,27.7,22.8,,15.0,25.0,5.75,0.32,,905754|ISC-GEM|5.75|Mw
905767,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1933,8,20,11,45,9.91,,124.847,13.185,9.2,6.8,,20.0,4.6,6.29,0.32,,905767|ISC-GEM|6.29|Mw || 1951055|PAS|6.50|MS || 05952070|ISC|6.30|MS || 1951055|PAS|6.50|MS || 05952070|ISC|6.30|MS
905772,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1933,8,22,13,12,55.78,,125.21,12.471,16.0,11.4,,35.0,19.4,5.84,0.2,,905772|ISC-GEM|5.84|Mw
905795,GUTE,GUTE|PAS-Ms,1933,9,3,3,45,59.0,,126.0,3.0,,,,35.0,,5.6,0.2,,1951102|PAS|5.60|MS
905801,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1933,9,7,17,53,38.12,,126.267,6.311,19.8,13.7,,35.0,24.7,5.63,0.2,,905801|ISC-GEM|5.63|Mw || 1951113|PAS|6.20|MS || 1951113|PAS|6.20|MS
905821,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1933,9,20,23,33,37.31,,120.851,12.921,11.5,9.2,,35.0,28.1,5.82,0.2,,905821|ISC-GEM|5.82|Mw || 1951148|PAS|6.50|MS || 1951148|PAS|6.50|MS
905833,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1933,9,25,13,45,53.87,,126.135,6.002,15.0,7.1,,35.0,36.5,5.95,0.2,,905833|ISC-GEM|5.95|Mw || 1951168|PAS|6.00|MS || 1951168|PAS|6.00|MS
905840,GUTE,GUTE|PAS-Ms,1933,9,28,0,27,58.0,,127.0,7.0,,,,100.0,,5.8,0.2,,1951181|PAS|5.80|MS
905940,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1933,12,2,8,43,8.49,,122.136,20.478,11.2,8.2,,15.0,24.1,5.78,0.2,,905940|ISC-GEM|5.78|Mw
904747,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,1,16,18,39,49.27,,124.95,5.986,11.8,7.9,,35.0,19.1,6.14,0.2,,904747|ISC-GEM|6.14|Mw || 1949352|PAS|6.20|MS || 1949352|PAS|6.20|MS
904758,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,1,21,6,55,27.16,,124.176,23.736,21.0,7.8,,15.0,6.3,6.38,0.2,,904758|ISC-GEM|6.38|Mw
904793,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,2,14,3,59,39.1,,119.292,17.496,4.9,4.5,,15.0,4.6,7.5,0.2,,904793|ISC-GEM|7.50|Mw || 1949432|PAS|7.60|MS || 05952104|ISC|7.60|MS || PS1992274|ps1992-ph|7.40|Ms || 1949432|PAS|7.60|MS || 05952104|ISC|7.60|MS || PS1992274|ps1992-ph|7.40|Ms
904794,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,2,14,17,14,45.85,,118.95,17.666,13.4,9.6,,15.0,25.0,5.77,0.24,,904794|ISC-GEM|5.77|Mw
904814,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,2,25,16,22,58.79,,118.995,17.395,16.0,9.2,,15.0,25.0,5.77,0.2,,904814|ISC-GEM|5.77|Mw
904882,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,4,12,3,20,47.43,,120.228,19.532,9.4,6.5,,15.0,7.2,5.75,0.28,,904882|ISC-GEM|5.75|Mw || 1949586|PAS|5.60|MS || 1949586|PAS|5.60|MS
904890,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,4,15,22,15,22.51,,126.662,7.689,8.7,6.8,,35.0,36.0,7.17,0.46,,904890|ISC-GEM|7.17|Mw || 1949598|PAS|7.30|MS || 05952119|ISC|7.20|MS || PS1992278|ps1992-ph|7.00|Ms || 1949598|PAS|7.30|MS || 05952119|ISC|7.20|MS || PS1992278|ps1992-ph|7.00|Ms
