eventID,originID,magnitudeID,value,sigma,magType,magAgency
912572,05951355,05951355|ISC|6.20|MS,6.2,0.2,MS,ISC
912164,1959339,1959339|PAS|6.20|MS,6.2,0.0,MS,PAS
912164,05951371,05951371|ISC|6.30|MS,6.3,0.1,MS,ISC
912199,02319034,02319034|UTSU|7.20|Mj,7.2,0.0,Mj,UTSU
912199,05951381,05951381|ISC|7.00|MS,7.0,0.1,MS,ISC
912236,05951386,05951386|ISC|6.60|MS,6.6,0.1,MS,ISC
912276,1959468,1959468|PAS|6.00|MS,6.0,0.0,MS,PAS
912359,05951395,05951395|ISC|6.40|MS,6.4,0.3,MS,ISC
912362,1959567,1959567|PAS|7.50|MS,7.5,0.0,MS,PAS
912362,02319044,02319044|ABE1|7.40|mB,7.4,0.0,mB,ABE1
912362,02319044,02319044|P&S|7.30|Ms,7.3,0.0,Ms,P&S
912362,02319044,02319044|ABE1|7.50|Ms,7.5,0.0,Ms,ABE1
912362,02319044,02319044|P&S|7.30|Mw,7.3,0.0,Mw,P&S
912362,02319044,02319044|B&D|7.50|UK,7.5,0.0,UK,B&D
912362,05951396,05951396|ISC|7.50|MS,7.5,0.2,MS,ISC
911911,1959057,1959057|PAS|6.80|MS,6.8,0.0,MS,PAS
911911,02319058,02319058|GUTE|6.60|UK,6.6,0.0,UK,GUTE
911911,05951422,05951422|ISC|6.50|MS,6.5,0.1,MS,ISC
911996,05951431,05951431|ISC|6.60|MS,6.6,0.0,MS,ISC
911301,02319084,02319084|P&S|7.00|Ms,7.0,0.0,Ms,P&S
911301,02319084,02319084|ABE1|7.20|Ms,7.2,0.0,Ms,ABE1
911301,02319084,02319084|P&S|7.10|Mw,7.1,0.0,Mw,P&S
911301,02319084,02319084|GUTE|7.20|UK,7.2,0.0,UK,GUTE
911301,02319084,02319084|B&D|7.20|UK,7.2,0.0,UK,B&D
911301,1958365,1958365|PAS|7.20|MS,7.2,0.0,MS,PAS
911301,05951458,05951458|ISC|7.00|MS,7.0,0.3,MS,ISC
911312,05951460,05951460|ISC|6.40|MS,6.4,0.0,MS,ISC
911315,1958382,1958382|PAS|7.00|MS,7.0,0.0,MS,PAS
911315,02319085,02319085|ABE1|7.20|mB,7.2,0.0,mB,ABE1
911315,02319085,02319085|ABE1|7.00|Ms,7.0,0.0,Ms,ABE1
911315,02319085,02319085|GUTE|7.00|UK,7.0,0.0,UK,GUTE
911315,02319085,02319085|B&D|7.00|UK,7.0,0.0,UK,B&D
911315,05951461,05951461|ISC|6.80|MS,6.8,0.0,MS,ISC
911334,1958404,1958404|PAS|7.00|MS,7.0,0.0,MS,PAS
911334,02319088,02319088|ABE1|6.90|Ms,6.9,0.0,Ms,ABE1
911334,02319088,02319088|GUTE|7.00|UK,7.0,0.0,UK,GUTE
911334,02319088,02319088|B&D|7.00|UK,7.0,0.0,UK,B&D
911334,05951464,05951464|ISC|6.80|MS,6.8,0.2,MS,ISC
911497,1958600,1958600|PAS|6.50|MS,6.5,0.0,MS,PAS
911497,05951482,05951482|ISC|6.30|MS,6.3,0.1,MS,ISC
911741,05951503,05951503|ISC|6.60|MS,6.6,0.3,MS,ISC
910911,1957912,1957912|PAS|8.30|MS,8.3,0.0,MS,PAS
910911,02319132,02319132|ABE1|7.70|mB,7.7,0.0,mB,ABE1
910911,02319132,02319132|P&S|8.10|Ms,8.1,0.0,Ms,P&S
910911,02319132,02319132|ABE1|8.30|Ms,8.3,0.0,Ms,ABE1
910911,02319132,02319132|P&S|8.20|Mw,8.2,0.0,Mw,P&S
910911,02319132,02319132|B&D|8.30|UK,8.3,0.0,UK,B&D
910911,05951515,05951515|ISC|8.00|MS,8.0,0.2,MS,ISC
910942,02319134,02319134|ABE1|6.90|mB,6.9,0.0,mB,ABE1
910942,02319134,02319134|ABE1|7.00|Ms,7.0,0.0,Ms,ABE1
910942,05951519,05951519|ISC|6.80|MS,6.8,0.1,MS,ISC
911039,02319142,02319142|UTSU|6.80|Mj,6.8,0.0,Mj,UTSU
911077,1958110,1958110|PAS|7.30|MS,7.3,0.0,MS,PAS
911077,02319151,02319151|ABE1|7.00|mB,7.0,0.0,mB,ABE1
911077,02319151,02319151|P&S|7.10|Ms,7.1,0.0,Ms,P&S
911077,02319151,02319151|ABE1|7.30|Ms,7.3,0.0,Ms,ABE1
911077,02319151,02319151|P&S|7.20|Mw,7.2,0.0,Mw,P&S
911077,02319151,02319151|B&D|7.30|UK,7.3,0.0,UK,B&D
911077,05951538,05951538|ISC|7.20|MS,7.2,0.1,MS,ISC
911120,05951541,05951541|ISC|6.30|MS,6.3,0.0,MS,ISC
911174,05951547,05951547|ISC|6.10|MS,6.1,0.2,MS,ISC
910427,1957334,1957334|PAS|6.50|MS,6.5,0.0,MS,PAS
910439,05951569,05951569|ISC|6.30|MS,6.3,0.0,MS,ISC
910450,1957362,1957362|PAS|7.10|MS,7.1,0.0,MS,PAS
910450,02319168,02319168|ABE1|7.10|mB,7.1,0.0,mB,ABE1
910450,02319168,02319168|ABE1|7.10|Ms,7.1,0.0,Ms,ABE1
910450,02319168,02319168|GUTE|7.10|UK,7.1,0.0,UK,GUTE
910450,02319168,02319168|B&D|7.10|UK,7.1,0.0,UK,B&D
910450,05951571,05951571|ISC|7.10|MS,7.1,0.2,MS,ISC
910473,1957390,1957390|PAS|7.10|MS,7.1,0.0,MS,PAS
910473,02319170,02319170|ABE1|6.80|mB,6.8,0.0,mB,ABE1
910473,02319170,02319170|ABE1|7.10|Ms,7.1,0.0,Ms,ABE1
910473,02319170,02319170|GUTE|7.10|UK,7.1,0.0,UK,GUTE
910473,02319170,02319170|B&D|7.10|UK,7.1,0.0,UK,B&D
910473,05951573,05951573|ISC|7.20|MS,7.2,0.1,MS,ISC
910478,1957397,1957397|PAS|6.80|MS,6.8,0.0,MS,PAS
910478,02319172,02319172|GUTE|6.60|UK,6.6,0.0,UK,GUTE
910478,05951575,05951575|ISC|6.80|MS,6.8,0.2,MS,ISC
910484,05951576,05951576|ISC|6.70|MS,6.7,0.2,MS,ISC
910513,1957441,1957441|PAS|6.20|MS,6.2,0.0,MS,PAS
910524,1957455,1957455|PAS|7.10|MS,7.1,0.0,MS,PAS
910524,02319176,02319176|ABE1|7.00|mB,7.0,0.0,mB,ABE1
910524,02319176,02319176|ABE1|7.00|Ms,7.0,0.0,Ms,ABE1
910524,02319176,02319176|GUTE|7.10|UK,7.1,0.0,UK,GUTE
910524,02319176,02319176|B&D|7.10|UK,7.1,0.0,UK,B&D
910524,05951581,05951581|ISC|7.00|MS,7.0,0.1,MS,ISC
910715,1957682,1957682|PAS|6.20|MS,6.2,0.0,MS,PAS
910734,1957706,1957706|PAS|7.30|MS,7.3,0.0,MS,PAS
910734,02319187,02319187|ABE1|7.40|mB,7.4,0.0,mB,ABE1
910734,02319187,02319187|P&S|7.10|Ms,7.1,0.0,Ms,P&S
910734,02319187,02319187|ABE1|7.30|Ms,7.3,0.0,Ms,ABE1
910734,02319187,02319187|P&S|7.20|Mw,7.2,0.0,Mw,P&S
910734,02319187,02319187|B&D|7.30|UK,7.3,0.0,UK,B&D
910734,05951598,05951598|ISC|7.30|MS,7.3,0.1,MS,ISC
910783,05951604,05951604|ISC|6.30|MS,6.3,0.3,MS,ISC
910784,05951605,05951605|ISC|6.20|MS,6.2,0.1,MS,ISC
909718,1956496,1956496|PAS|5.60|MS,5.6,0.0,MS,PAS
909755,05951614,05951614|ISC|6.60|MS,6.6,0.3,MS,ISC
909845,05951626,05951626|ISC|6.50|MS,6.5,0.1,MS,ISC
909938,1956776,1956776|PAS|6.20|MS,6.2,0.0,MS,PAS
909939,1956778,1956778|PAS|6.20|MS,6.2,0.0,MS,PAS
909963,05951640,05951640|ISC|6.60|MS,6.6,0.1,MS,ISC
909966,05951641,05951641|ISC|6.50|MS,6.5,0.1,MS,ISC
910104,05951653,05951653|ISC|6.50|MS,6.5,0.0,MS,ISC
910134,1957002,1957002|PAS|6.20|MS,6.2,0.0,MS,PAS
910207,1957086,1957086|PAS|6.20|MS,6.2,0.0,MS,PAS
910250,05951667,05951667|ISC|6.20|MS,6.2,0.1,MS,ISC
909198,1955863,1955863|PAS|6.80|MS,6.8,0.0,MS,PAS
909198,02319230,02319230|GUTE|6.60|UK,6.6,0.0,UK,GUTE
909199,1955865,1955865|PAS|6.20|MS,6.2,0.0,MS,PAS
909209,1955881,1955881|PAS|6.80|MS,6.8,0.0,MS,PAS
909209,02319232,02319232|ABE1|7.10|mB,7.1,0.0,mB,ABE1
909209,02319232,02319232|GUTE|6.80|UK,6.8,0.0,UK,GUTE
909473,1956203,1956203|PAS|6.80|MS,6.8,0.0,MS,PAS
909473,02319244,02319244|GUTE|6.60|UK,6.6,0.0,UK,GUTE
909473,05951707,05951707|ISC|6.50|MS,6.5,0.2,MS,ISC
909631,1956393,1956393|PAS|7.00|MS,7.0,0.0,MS,PAS
909631,02319252,02319252|ABE1|7.00|mB,7.0,0.0,mB,ABE1
909631,02319252,02319252|ABE1|6.90|Ms,6.9,0.0,Ms,ABE1
909631,02319252,02319252|GUTE|7.00|UK,7.0,0.0,UK,GUTE
909631,02319252,02319252|B&D|7.00|UK,7.0,0.0,UK,B&D
909631,05951719,05951719|ISC|7.00|MS,7.0,0.1,MS,ISC
908741,1955287,1955287|PAS|7.00|MS,7.0,0.0,MS,PAS
908741,02319271,02319271|ABE1|7.10|mB,7.1,0.0,mB,ABE1
908741,02319271,02319271|ABE1|7.00|Ms,7.0,0.0,Ms,ABE1
908741,02319271,02319271|GUTE|7.00|UK,7.0,0.0,UK,GUTE
908741,02319271,02319271|B&D|7.00|UK,7.0,0.0,UK,B&D
908741,05951757,05951757|ISC|7.00|MS,7.0,0.3,MS,ISC
908742,1955289,1955289|PAS|6.80|MS,6.8,0.0,MS,PAS
908742,02319272,02319272|GUTE|6.60|UK,6.6,0.0,UK,GUTE
908742,05951758,05951758|ISC|6.80|MS,6.8,0.1,MS,ISC
908824,1955393,1955393|PAS|6.20|MS,6.2,0.0,MS,PAS
908827,02319279,02319279|ABE1|7.00|mB,7.0,0.0,mB,ABE1
908827,02319279,02319279|GUTE|6.90|UK,6.9,0.0,UK,GUTE
908827,1955399,1955399|PAS|6.90|MS,6.9,0.0,MS,PAS
908827,05951767,05951767|ISC|6.10|MS,6.1,0.2,MS,ISC
908888,05951771,05951771|ISC|6.50|MS,6.5,0.1,MS,ISC
909023,1955652,1955652|PAS|7.30|MS,7.3,0.0,MS,PAS
909023,02319290,02319290|ABE1|6.90|mB,6.9,0.0,mB,ABE1
909023,02319290,02319290|P&S|7.30|Ms,7.3,0.0,Ms,P&S
909023,02319290,02319290|ABE1|7.50|Ms,7.5,0.0,Ms,ABE1
909023,02319290,02319290|P&S|7.30|Mw,7.3,0.0,Mw,P&S
909023,02319290,02319290|B&D|7.30|UK,7.3,0.0,UK,B&D
909023,05951790,05951790|ISC|7.50|MS,7.5,0.3,MS,ISC
909032,1955666,1955666|PAS|6.90|MS,6.9,0.0,MS,PAS
909032,02319291,02319291|GUTE|6.70|UK,6.7,0.0,UK,GUTE
909032,05951791,05951791|ISC|6.70|MS,6.7,0.1,MS,ISC
907857,05951793,05951793|ISC|6.30|MS,6.3,0.3,MS,ISC
907995,02319301,02319301|GUTE|6.60|UK,6.6,0.0,UK,GUTE
907995,1954352,1954352|PAS|6.80|MS,6.8,0.0,MS,PAS
908118,02319307,02319307|ABE1|7.10|mB,7.1,0.0,mB,ABE1
908118,02319307,02319307|GUTE|7.00|UK,7.0,0.0,UK,GUTE
908118,02319307,02319307|B&D|7.00|UK,7.0,0.0,UK,B&D
908118,1954508,1954508|PAS|7.00|MS,7.0,0.0,MS,PAS
908140,1954538,1954538|PAS|7.20|MS,7.2,0.0,MS,PAS
908140,02319309,02319309|ABE1|7.20|mB,7.2,0.0,mB,ABE1
908140,02319309,02319309|P&S|7.00|Ms,7.0,0.0,Ms,P&S
908140,02319309,02319309|ABE1|7.20|Ms,7.2,0.0,Ms,ABE1
908140,02319309,02319309|P&S|7.10|Mw,7.1,0.0,Mw,P&S
908140,02319309,02319309|B&D|7.20|UK,7.2,0.0,UK,B&D
908140,05951822,05951822|ISC|7.30|MS,7.3,0.1,MS,ISC
908144,05951823,05951823|ISC|6.30|MS,6.3,0.1,MS,ISC
908155,05951825,05951825|ISC|6.30|MS,6.3,0.1,MS,ISC
908176,05951827,05951827|ISC|6.50|MS,6.5,0.1,MS,ISC
908226,1954648,1954648|PAS|5.60|MS,5.6,0.0,MS,PAS
908274,1954716,1954716|PAS|6.80|MS,6.8,0.0,MS,PAS
908274,02319314,02319314|GUTE|6.60|UK,6.6,0.0,UK,GUTE
908274,05951837,05951837|ISC|6.50|MS,6.5,0.4,MS,ISC
908318,1954767,1954767|PAS|6.00|MS,6.0,0.0,MS,PAS
908362,1954825,1954825|PAS|6.50|MS,6.5,0.0,MS,PAS
908379,05951845,05951845|ISC|6.00|MS,6.0,0.4,MS,ISC
908392,05951847,05951847|ISC|7.10|MS,7.1,0.2,MS,ISC
907410,1953618,1953618|PAS|6.50|MS,6.5,0.0,MS,PAS
907427,1953640,1953640|PAS|6.20|MS,6.2,0.0,MS,PAS
907510,1953745,1953745|PAS|6.00|MS,6.0,0.0,MS,PAS
907727,1954007,1954007|PAS|6.90|MS,6.9,0.0,MS,PAS
907727,02319340,02319340|GUTE|6.70|UK,6.7,0.0,UK,GUTE
907791,05951905,05951905|ISC|6.20|MS,6.2,0.4,MS,ISC
907817,02319344,02319344|ABE1|7.00|mB,7.0,0.0,mB,ABE1
907817,02319344,02319344|GUTE|6.90|UK,6.9,0.0,UK,GUTE
907817,1954114,1954114|PAS|6.90|MS,6.9,0.0,MS,PAS
906588,1952447,1952447|PAS|6.20|MS,6.2,0.0,MS,PAS
906642,1952528,1952528|PAS|6.80|MS,6.8,0.0,MS,PAS
906642,02319354,02319354|GUTE|6.60|UK,6.6,0.0,UK,GUTE
906642,05951924,05951924|ISC|6.40|MS,6.4,0.1,MS,ISC
