eventID,datetime,year,month,day,hour,minute,second,latitude,longitude,depth,magnitude,location,magnitudeType,event_type
61207917,2015-09-02 01:18:00+00:00,2015,09,02,01,18,00,4.23,124.75,312,6.1,155 km S 31° W of Sarangani (Davao Occidental),Mw,TECTONIC
61209316,2015-09-02 01:18:00+00:00,2015,09,02,01,18,00,4.23,124.75,312,6.1,155 km S 31° W of Sarangani (Davao Occidental),Mw,TECTONIC
61211225,2015-09-02 01:18:00+00:00,2015,09,02,01,18,00,4.23,124.75,312,6.1,155 km S 31° W of Sarangani (Davao Occidental),Mw,TECTONIC
61228108,2019-08-02 16:10:09+00:00,2019,08,02,16,10,09,6.02,126.03,144,5.6,048 km N 72° E of Jose Abad Santos (Davao Occidental),Mw,TECTONIC
61268392,2022-08-02 19:19:32+00:00,2022,08,02,19,19,32,7.11,127.03,22,5.6,056 km S 78° E of Manay (Davao Oriental),Mw,TECTONIC
61273664,2022-06-02 18:54:27+00:00,2022,06,02,18,54,27,8.92,126.74,9,5.6,049 km S 90° E of Cagwait (Surigao Del Sur),Mw,TECTONIC
61214185,2016-10-02 13:40:08+00:00,2016,10,02,13,40,08,16.49,119.71,25,5.5,022 km N 61° W of Bolinao (Pangasinan),Ms,TECTONIC
61268448,2022-08-02 05:24:26+00:00,2022,08,02,05,24,26,6.88,123.75,1,5.4,044 km N 53° W of Lebak (Sultan Kudarat),Mw,TECTONIC
61233823,2019-03-02 19:46:22+00:00,2019,03,02,19,46,22,18.63,120.37,28,5.3,032 km N 66° W of Burgos (Ilocos Norte),Ms,TECTONIC
61264441,2021-10-02 21:59:26+00:00,2021,10,02,21,59,26,12.84,120.86,3,5.3,008 km S 88° E of Sablayan (Occidental Mindoro),Mw,TECTONIC
61257167,2021-02-02 14:37:34+00:00,2021,02,02,14,37,34,3.62,126.57,25,5.2,236 km S 33° E of Sarangani (Davao Occidental),Ms,TECTONIC
61277323,2022-11-02 13:07:43+00:00,2022,11,02,13,07,43,19.67,121.6,53,5.2,037 km N 63° W of Babuyan Island (Calayan) (Cagayan),Mw,TECTONIC
61200754,2015-08-02 13:08:00+00:00,2015,08,02,13,08,00,7.96,123.59,607,5,002 km N 13° E of Aurora (Zamboanga Del Sur),Ms,TECTONIC
61202038,2015-08-02 13:08:00+00:00,2015,08,02,13,08,00,7.96,123.59,607,5,002 km N 13° E of Aurora (Zamboanga Del Sur),Ms,TECTONIC
61202980,2015-08-02 13:08:00+00:00,2015,08,02,13,08,00,7.96,123.59,607,5,002 km N 13° E of Aurora (Zamboanga Del Sur),Ms,TECTONIC
61204470,2015-08-02 13:08:00+00:00,2015,08,02,13,08,00,7.96,123.59,607,5,002 km N 13° E of Aurora (Zamboanga Del Sur),Ms,TECTONIC
61206110,2015-08-02 13:08:00+00:00,2015,08,02,13,08,00,7.96,123.59,607,5,002 km N 13° E of Aurora (Zamboanga Del Sur),Ms,TECTONIC
61207038,2015-08-02 13:08:00+00:00,2015,08,02,13,08,00,7.96,123.59,607,5,002 km N 13° E of Aurora (Zamboanga Del Sur),Ms,TECTONIC
61208078,2015-08-02 13:08:00+00:00,2015,08,02,13,08,00,7.96,123.59,607,5,002 km N 13° E of Aurora (Zamboanga Del Sur),Ms,TECTONIC
61209477,2015-08-02 13:08:00+00:00,2015,08,02,13,08,00,7.96,123.59,607,5,002 km N 13° E of Aurora (Zamboanga Del Sur),Ms,TECTONIC
61214679,2016-09-02 08:39:15+00:00,2016,09,02,08,39,15,6.4,123.77,1,5,037km S 59° W of Kalamansig (Sultan Kudarat),Ms,TECTONIC
